volume,day,type,tx_count,avg_volume,min_volume,max_volume
64741.07,17/01/22,Borrow,1,64741.068614448,64741.068614448,64741.068614448
878.1,17/01/22,Close Borrow,1,878.098142474049,878.098142474049,878.098142474049
10836.96,17/01/22,Close Margin Trade,5,2167.39133351665,2538.37831175236,8298.57835583089
74744.22,17/01/22,Lend,5,14948.8435002902,4379.0907847993,70365.1267166519
8143.12,17/01/22,Margin Trade,1,8143.11940888156,8143.11940888156,8143.11940888156
811901.93,17/01/22,Spot Trade,165,4920.61778143146,15.1666493596487,376010.859414889
8263.5,17/01/22,UnLend,10,826.349733939104,96.7213199979713,5609.64167402356
102785.57,16/01/22,Borrow,5,20557.1132244676,5275.47933132746,97510.0867910104
219113.1,16/01/22,Close Borrow,4,54778.2739195117,1957.27716286984,214809.960975031
5297.4,16/01/22,Close Margin Trade,2,2648.69844569811,5297.39689139623,5297.39689139623
113.99,16/01/22,Increase Margin,1,113.989770571875,113.989770571875,113.989770571875
312026.99,16/01/22,Lend,8,39003.3737137693,68447.996764781,243578.992945373
26552.51,16/01/22,Margin Trade,11,2413.86432254331,8052.59521658623,18499.9123313902
377102.31,16/01/22,Spot Trade,227,1661.24365354651,25.8260977566852,213635.013798754
258484.52,16/01/22,UnLend,7,36926.3593184242,535.993803502906,257948.521425467
423335.94,15/01/22,Borrow,2,211667.970687964,423335.941375929,423335.941375929
25572.21,15/01/22,Close Borrow,4,6393.05361903004,6999.7871685469,18572.4273075732
4963.19,15/01/22,Close Margin Trade,5,992.638292844517,858.046998773819,4105.14446544877
8.62,15/01/22,Increase Margin,1,8.6155187787608,8.6155187787608,8.6155187787608
12865.56,15/01/22,Lend,10,1286.55585219064,3841.95664989487,9023.60187201152
35527.41,15/01/22,Margin Trade,14,2537.67215492574,8604.62790147257,26922.7822674878
1227990.62,15/01/22,Spot Trade,292,4205.44733462513,5.00607492097902,675352.096226358
237886.23,15/01/22,UnLend,24,9911.92624227379,32812.7042613275,205073.525553244
18465.99,14/01/22,Borrow,1,18465.9857185033,18465.9857185033,18465.9857185033
163542.11,14/01/22,Close Margin Trade,13,12580.1625326389,163542.112924305,163542.112924305
798.99,14/01/22,Increase Margin,4,199.747008610991,179.23829754144,619.749736902525
312901.57,14/01/22,Lend,29,10789.7091429894,143.07387606,275902.76393378
115801.77,14/01/22,Margin Trade,16,7237.61035805277,3500.21983034546,93051.1161627239
1989828.49,14/01/22,Spot Trade,630,3158.45792627142,367.132394257049,901385.751705094
114816.5,14/01/22,UnLend,34,3376.95583531057,2915.05614105,92849.8024416756
12239.97,13/01/22,Borrow,1,12239.9730864063,12239.9730864063,12239.9730864063
